Label,temperature,treatment,cage,survival,sex,individual,trait,Length,doubleCheck
FO_18_NP_2_6_M_68_L_.tif,18,NP,2,6,M,68,L,0.649,0
FO_18_NP_2_6_M_68_W_.tif,18,NP,2,6,M,68,W,1.816,0
FO_18_NP_2_6_M_69_T_.tif,18,NP,2,6,M,69,T,1.009,0
FO_18_NP_2_6_M_69_L_.tif,18,NP,2,6,M,69,L,0.683,0
FO_18_NP_2_6_M_69_L_.tif,18,NP,2,6,M,69,L,0.677,0
FO_18_NP_2_6_M_69_W_.tif,18,NP,2,6,M,69,W,1.851,0
FO_18_NP_2_6_F_70_T_.tif,18,NP,2,6,F,70,T,0.992,0
FO_18_NP_2_6_F_70_L_.tif,18,NP,2,6,F,70,L,0.676,0
FO_18_NP_2_6_F_70_L_.tif,18,NP,2,6,F,70,L,0.665,0
FO_18_NP_2_6_F_70_W_.tif,18,NP,2,6,F,70,W,1.931,0
FO_18_NP_2_6_F_71_T_.tif,18,NP,2,6,F,71,T,1.012,0
FO_18_NP_2_6_F_71_L_.tif,18,NP,2,6,F,71,L,0.683,0
FO_18_NP_2_6_F_71_L_.tif,18,NP,2,6,F,71,L,0.664,0
FO_18_NP_2_6_F_71_W_.tif,18,NP,2,6,F,71,W,1.946,0
FO_18_NP_2_6_M_72_T_.tif,18,NP,2,6,M,72,T,0.844,0
FO_18_NP_2_6_M_72_L_.tif,18,NP,2,6,M,72,L,0.608,0
FO_18_NP_2_6_M_72_L_.tif,18,NP,2,6,M,72,L,0.539,0
FO_18_NP_2_6_M_72_W_.tif,18,NP,2,6,M,72,W,1.554,0
FO_18_NP_2_6_M_73_T_.tif,18,NP,2,6,M,73,T,0.873,0
FO_18_NP_2_6_M_73_L_.tif,18,NP,2,6,M,73,L,0.623,0
FO_18_NP_2_6_M_73_L_.tif,18,NP,2,6,M,73,L,0.627,0
FO_18_NP_2_6_M_73_W_.tif,18,NP,2,6,M,73,W,1.678,0
FO_18_NP_2_6_F_74_T_.tif,18,NP,2,6,F,74,T,0.997,0
FO_18_NP_2_6_F_74_L_.tif,18,NP,2,6,F,74,L,0.655,0
FO_18_NP_2_6_F_74_L_.tif,18,NP,2,6,F,74,L,0.645,0
FO_18_NP_2_6_F_74_W_.tif,18,NP,2,6,F,74,W,1.93,0
FO_18_NP_2_6_F_75_T_.tif,18,NP,2,6,F,75,T,1.083,0
FO_18_NP_2_6_F_75_L_.tif,18,NP,2,6,F,75,L,0.698,0
FO_18_NP_2_6_F_75_L_.tif,18,NP,2,6,F,75,L,0.666,0
FO_18_NP_2_6_F_75_W_.tif,18,NP,2,6,F,75,W,1.994,0
FO_18_NP_2_6_F_76_T_.tif,18,NP,2,6,F,76,T,1.045,0
FO_18_NP_2_6_F_76_L_.tif,18,NP,2,6,F,76,L,0.677,0
FO_18_NP_2_6_F_76_L_.tif,18,NP,2,6,F,76,L,0.663,0
FO_18_NP_2_6_F_76_W_.tif,18,NP,2,6,F,76,W,1.961,0
FO_18_NP_2_6_M_77_T_.tif,18,NP,2,6,M,77,T,0.96,0
FO_18_NP_2_6_M_77_L_.tif,18,NP,2,6,M,77,L,0.675,0
FO_18_NP_2_6_M_77_L_.tif,18,NP,2,6,M,77,L,0.651,0
FO_18_NP_2_6_M_77_W_.tif,18,NP,2,6,M,77,W,1.867,0
FO_18_NP_2_6_F_78_T_.tif,18,NP,2,6,F,78,T,1.097,0
FO_18_NP_2_6_F_78_L_.tif,18,NP,2,6,F,78,L,0.712,0
FO_18_NP_2_6_F_78_L_.tif,18,NP,2,6,F,78,L,0.708,0
FO_18_NP_2_6_F_78_W_.tif,18,NP,2,6,F,78,W,2.042,0
FO_18_NP_2_6_M_79_T_.tif,18,NP,2,6,M,79,T,0.939,0
FO_18_NP_2_6_M_79_L_.tif,18,NP,2,6,M,79,L,0.682,0
FO_18_NP_2_6_M_79_L_.tif,18,NP,2,6,M,79,L,0.658,0
FO_18_NP_2_6_M_79_W_.tif,18,NP,2,6,M,79,W,1.776,0
FO_18_NP_2_6_F_62_W_.tif,18,NP,2,6,F,62,W,2.058,0
FO_18_NP_2_6_F_46_L_.tif,18,NP,2,6,F,46,L,0.714,0
FO_18_NP_2_6_F_46_L_.tif,18,NP,2,6,F,46,L,0.686,0
FO_18_NP_2_6_F_46_W_.tif,18,NP,2,6,F,46,W,2.092,0
FO_18_NP_2_6_F_47_T_.tif,18,NP,2,6,F,47,T,1.002,0
FO_18_NP_2_6_F_47_L_.tif,18,NP,2,6,F,47,L,0.683,0
FO_18_NP_2_6_F_47_L_.tif,18,NP,2,6,F,47,L,0.694,0
FO_18_NP_2_6_F_47_W_.tif,18,NP,2,6,F,47,W,1.945,0
FO_18_NP_2_6_F_48_T_.tif,18,NP,2,6,F,48,T,1.033,0
FO_18_NP_2_6_F_48_L_.tif,18,NP,2,6,F,48,L,0.684,0
FO_18_NP_2_6_F_48_L_.tif,18,NP,2,6,F,48,L,0.669,0
FO_18_NP_2_6_F_48_W_.tif,18,NP,2,6,F,48,W,1.97,0
FO_18_NP_2_6_M_49_T_.tif,18,NP,2,6,M,49,T,0.963,0
FO_18_NP_2_6_M_49_L_.tif,18,NP,2,6,M,49,L,0.667,0
FO_18_NP_2_6_M_49_L_.tif,18,NP,2,6,M,49,L,0.646,0
FO_18_NP_2_6_M_49_W_.tif,18,NP,2,6,M,49,W,1.81,0
FO_18_NP_2_6_F_50_T_.tif,18,NP,2,6,F,50,T,1.063,0
FO_18_NP_2_6_F_50_L_.tif,18,NP,2,6,F,50,L,0.688,0
FO_18_NP_2_6_F_50_L_.tif,18,NP,2,6,F,50,L,0.708,0
FO_18_NP_2_6_F_50_W_.tif,18,NP,2,6,F,50,W,2.023,0
FO_18_NP_2_6_M_51_T_.tif,18,NP,2,6,M,51,T,0.913,0
FO_18_NP_2_6_M_51_L_.tif,18,NP,2,6,M,51,L,0.63,0
FO_18_NP_2_6_M_51_L_.tif,18,NP,2,6,M,51,L,0.603,0
FO_18_NP_2_6_M_51_W_.tif,18,NP,2,6,M,51,W,1.694,0
FO_18_NP_2_6_M_52_T_.tif,18,NP,2,6,M,52,T,0.974,0
FO_18_NP_2_6_M_52_L_.tif,18,NP,2,6,M,52,L,0.7,0
FO_18_NP_2_6_M_52_L_.tif,18,NP,2,6,M,52,L,0.689,0
FO_18_NP_2_6_M_52_W_.tif,18,NP,2,6,M,52,W,1.911,0
FO_18_NP_2_6_F_53_T_.tif,18,NP,2,6,F,53,T,0.964,0
FO_18_NP_2_6_F_53_L_.tif,18,NP,2,6,F,53,L,0.651,0
FO_18_NP_2_6_F_53_L_.tif,18,NP,2,6,F,53,L,0.622,0
FO_18_NP_2_6_F_53_W_.tif,18,NP,2,6,F,53,W,1.868,0
FO_18_NP_2_6_F_54_T_.tif,18,NP,2,6,F,54,T,0.998,0
FO_18_NP_2_6_F_54_L_.tif,18,NP,2,6,F,54,L,0.671,0
FO_18_NP_2_6_F_54_L_.tif,18,NP,2,6,F,54,L,0.624,0
FO_18_NP_2_6_F_54_W_.tif,18,NP,2,6,F,54,W,1.907,0
FO_18_NP_2_6_F_55_T_.tif,18,NP,2,6,F,55,T,1.015,0
FO_18_NP_2_6_F_55_L_.tif,18,NP,2,6,F,55,L,0.685,0
FO_18_NP_2_6_F_55_L_.tif,18,NP,2,6,F,55,L,0.665,0
FO_18_NP_2_6_F_55_W_.tif,18,NP,2,6,F,55,W,1.901,0
FO_18_NP_2_6_M_56_T_.tif,18,NP,2,6,M,56,T,0.964,0
FO_18_NP_2_6_M_56_L_.tif,18,NP,2,6,M,56,L,0.67,0
FO_18_NP_2_6_M_56_L_.tif,18,NP,2,6,M,56,L,0.642,0
FO_18_NP_2_6_M_56_W_.tif,18,NP,2,6,M,56,W,1.796,0
FO_18_NP_2_6_M_57_T_.tif,18,NP,2,6,M,57,T,0.997,0
FO_18_NP_2_6_M_57_L_.tif,18,NP,2,6,M,57,L,0.681,0
FO_18_NP_2_6_M_57_L_.tif,18,NP,2,6,M,57,L,0.665,0
FO_18_NP_2_6_M_57_W_.tif,18,NP,2,6,M,57,W,1.759,0
FO_18_NP_2_6_F_58_T_.tif,18,NP,2,6,F,58,T,1.087,0
FO_18_NP_2_6_F_58_L_.tif,18,NP,2,6,F,58,L,0.711,0
FO_18_NP_2_6_F_58_L_.tif,18,NP,2,6,F,58,L,0.713,0
FO_18_NP_2_6_F_58_W_.tif,18,NP,2,6,F,58,W,2.018,0
FO_18_NP_2_6_M_59_T_.tif,18,NP,2,6,M,59,T,0.941,0
FO_18_NP_2_6_M_59_L_.tif,18,NP,2,6,M,59,L,0.681,0
FO_18_NP_2_6_M_59_L_.tif,18,NP,2,6,M,59,L,0.659,0
FO_18_NP_2_6_M_59_W_.tif,18,NP,2,6,M,59,W,1.756,0
FO_18_NP_2_6_F_60_T_.tif,18,NP,2,6,F,60,T,1.016,0
FO_18_NP_2_6_F_60_L_.tif,18,NP,2,6,F,60,L,0.671,0
FO_18_NP_2_6_F_60_L_.tif,18,NP,2,6,F,60,L,0.648,0
FO_18_NP_2_6_F_60_W_.tif,18,NP,2,6,F,60,W,1.946,0
FO_18_NP_2_6_M_61_T_.tif,18,NP,2,6,M,61,T,0.914,0
FO_18_NP_2_6_M_61_L_.tif,18,NP,2,6,M,61,L,0.642,0
FO_18_NP_2_6_M_61_L_.tif,18,NP,2,6,M,61,L,0.627,0
FO_18_NP_2_6_M_61_W_.tif,18,NP,2,6,M,61,W,1.692,0
FO_18_NP_2_6_F_62_T_.tif,18,NP,2,6,F,62,T,1.079,0
FO_18_NP_2_6_F_62_L_.tif,18,NP,2,6,F,62,L,0.726,0
FO_18_NP_2_6_F_62_L_.tif,18,NP,2,6,F,62,L,0.677,0
FO_18_NP_2_6_F_30_T_.tif,18,NP,2,6,F,30,T,1.088,0
FO_18_NP_2_6_F_30_L_.tif,18,NP,2,6,F,30,L,0.7,0
FO_18_NP_2_6_F_30_L_.tif,18,NP,2,6,F,30,L,0.672,0
FO_18_NP_2_6_F_30_W_.tif,18,NP,2,6,F,30,W,2.008,0
FO_18_NP_2_6_M_31_T_.tif,18,NP,2,6,M,31,T,0.912,0
FO_18_NP_2_6_M_31_L_.tif,18,NP,2,6,M,31,L,0.673,0
FO_18_NP_2_6_M_31_L_.tif,18,NP,2,6,M,31,L,0.613,0
FO_18_NP_2_6_M_31_W_.tif,18,NP,2,6,M,31,W,1.722,0
FO_18_NP_2_6_F_32_T_.tif,18,NP,2,6,F,32,T,1.065,0
FO_18_NP_2_6_F_32_L_.tif,18,NP,2,6,F,32,L,0.716,0
FO_18_NP_2_6_F_32_L_.tif,18,NP,2,6,F,32,L,0.701,0
FO_18_NP_2_6_F_32_W_.tif,18,NP,2,6,F,32,W,2.016,0
FO_18_NP_2_6_F_33_T_.tif,18,NP,2,6,F,33,T,1.035,0
FO_18_NP_2_6_F_33_L_.tif,18,NP,2,6,F,33,L,0.68,0
FO_18_NP_2_6_F_33_L_.tif,18,NP,2,6,F,33,L,0.682,0
FO_18_NP_2_6_F_33_W_.tif,18,NP,2,6,F,33,W,1.919,0
FO_18_NP_2_6_M_34_T_.tif,18,NP,2,6,M,34,T,0.925,0
FO_18_NP_2_6_M_34_L_.tif,18,NP,2,6,M,34,L,0.644,0
FO_18_NP_2_6_M_34_L_.tif,18,NP,2,6,M,34,L,0.599,0
FO_18_NP_2_6_M_34_W_.tif,18,NP,2,6,M,34,W,1.779,0
FO_18_NP_2_6_M_35_T_.tif,18,NP,2,6,M,35,T,0.961,0
FO_18_NP_2_6_M_35_L_.tif,18,NP,2,6,M,35,L,0.677,0
FO_18_NP_2_6_M_35_L_.tif,18,NP,2,6,M,35,L,0.675,0
FO_18_NP_2_6_M_35_W_.tif,18,NP,2,6,M,35,W,1.814,0
FO_18_NP_2_6_F_36_T_.tif,18,NP,2,6,F,36,T,1.03,0
FO_18_NP_2_6_F_36_L_.tif,18,NP,2,6,F,36,L,0.658,0
FO_18_NP_2_6_F_36_L_.tif,18,NP,2,6,F,36,L,0.687,0
FO_18_NP_2_6_F_36_W_.tif,18,NP,2,6,F,36,W,1.913,0
FO_18_NP_2_6_M_37_T_.tif,18,NP,2,6,M,37,T,0.944,0
FO_18_NP_2_6_M_37_L_.tif,18,NP,2,6,M,37,L,0.681,0
FO_18_NP_2_6_M_37_L_.tif,18,NP,2,6,M,37,L,0.666,0
FO_18_NP_2_6_M_37_W_.tif,18,NP,2,6,M,37,W,1.803,0
FO_18_NP_2_6_M_38_T_.tif,18,NP,2,6,M,38,T,0.936,0
FO_18_NP_2_6_M_38_L_.tif,18,NP,2,6,M,38,L,0.667,0
FO_18_NP_2_6_M_38_L_.tif,18,NP,2,6,M,38,L,0.65,0
FO_18_NP_2_6_M_38_W_.tif,18,NP,2,6,M,38,W,1.76,0
FO_18_NP_2_6_M_39_T_.tif,18,NP,2,6,M,39,T,0.84,0
FO_18_NP_2_6_M_39_L_.tif,18,NP,2,6,M,39,L,0.616,0
FO_18_NP_2_6_M_39_L_.tif,18,NP,2,6,M,39,L,0.608,0
FO_18_NP_2_6_M_39_W_.tif,18,NP,2,6,M,39,W,1.687,0
FO_18_NP_2_6_F_40_T_.tif,18,NP,2,6,F,40,T,1.037,0
